time,open,high,low,close,volume
2023-08-24 06:38:00,1674.99,1675.77,1674.80,1675.46,1201.389
2023-08-24 06:39:00,1675.46,1677.16,1675.46,1676.59,2760.188
2023-08-24 06:40:00,1676.60,1676.85,1673.39,1674.40,10377.407
2023-08-24 06:41:00,1674.41,1675.26,1673.98,1675.01,1011.374
2023-08-24 06:42:00,1675.01,1675.01,1673.80,1674.03,1672.357
2023-08-24 06:43:00,1674.03,1674.40,1674.02,1674.21,466.507
2023-08-24 06:44:00,1674.21,1674.80,1674.21,1674.80,442.247
2023-08-24 06:45:00,1674.80,1674.99,1674.05,1674.23,1108.908
2023-08-24 06:46:00,1674.24,1674.59,1672.74,1672.80,1960.078
2023-08-24 06:47:00,1672.80,1673.09,1672.21,1672.24,845.060
2023-08-24 06:48:00,1672.23,1672.61,1671.04,1671.27,2023.421
2023-08-24 06:49:00,1671.26,1671.78,1670.65,1671.78,2038.862
2023-08-24 06:50:00,1671.78,1671.99,1671.61,1671.99,1117.147
2023-08-24 06:51:00,1671.99,1671.99,1671.84,1671.90,342.424
2023-08-24 06:52:00,1671.89,1672.11,1671.59,1671.70,490.371
2023-08-24 06:53:00,1671.71,1672.00,1671.70,1671.84,552.518
2023-08-24 06:54:00,1671.84,1671.96,1671.28,1671.38,481.143
2023-08-24 06:55:00,1671.38,1671.39,1670.00,1671.24,2321.407
2023-08-24 06:56:00,1671.24,1671.24,1670.75,1670.95,503.905
2023-08-24 06:57:00,1670.96,1670.96,1670.17,1670.21,424.603
2023-08-24 06:58:00,1670.20,1670.98,1670.20,1670.79,881.443
2023-08-24 06:59:00,1670.79,1671.55,1670.68,1671.55,1892.474
2023-08-24 07:00:00,1671.55,1671.88,1671.55,1671.72,1171.047
2023-08-24 07:01:00,1671.72,1671.97,1671.35,1671.69,373.103
2023-08-24 07:02:00,1671.69,1671.69,1671.11,1671.41,813.985
2023-08-24 07:03:00,1671.40,1671.41,1670.68,1670.68,334.635
2023-08-24 07:04:00,1670.69,1670.69,1670.46,1670.59,282.086
2023-08-24 07:05:00,1670.59,1670.59,1670.14,1670.15,668.843
2023-08-24 07:06:00,1670.14,1670.15,1669.36,1669.66,1524.392
2023-08-24 07:07:00,1669.66,1669.66,1667.89,1668.96,4543.163
2023-08-24 07:08:00,1668.97,1669.08,1668.24,1668.30,1861.061
2023-08-24 07:09:00,1668.29,1668.72,1667.89,1668.21,1850.774
2023-08-24 07:10:00,1668.22,1668.52,1668.13,1668.14,809.510
2023-08-24 07:11:00,1668.14,1668.45,1668.08,1668.11,929.281
2023-08-24 07:12:00,1668.11,1668.67,1667.76,1668.66,1743.697
2023-08-24 07:13:00,1668.66,1668.66,1668.11,1668.36,504.949
2023-08-24 07:14:00,1668.36,1668.36,1667.67,1667.67,505.544
2023-08-24 07:15:00,1667.68,1668.34,1667.50,1668.14,2175.183
2023-08-24 07:16:00,1668.15,1668.15,1667.00,1667.99,3454.959
2023-08-24 07:17:00,1667.99,1668.12,1667.13,1667.14,1070.995
2023-08-24 07:18:00,1667.13,1667.88,1665.89,1667.88,5450.145
2023-08-24 07:19:00,1667.88,1667.88,1666.49,1666.79,2204.689
2023-08-24 07:20:00,1666.79,1666.79,1666.02,1666.51,2432.478
2023-08-24 07:21:00,1666.52,1667.13,1666.51,1667.13,1246.002
2023-08-24 07:22:00,1667.13,1667.15,1666.65,1666.83,1009.652
2023-08-24 07:23:00,1666.83,1667.39,1666.66,1667.39,638.868
2023-08-24 07:24:00,1667.39,1667.56,1666.95,1667.29,586.426
2023-08-24 07:25:00,1667.29,1667.29,1665.99,1666.36,1241.386
2023-08-24 07:26:00,1666.37,1666.71,1665.99,1665.99,1130.444
