,price,quantity,total
330,0.8261,241.8,1399310.7999999993
331,0.826,444.6,1399755.3999999994
332,0.8259,118.0,1399873.3999999994
333,0.8258,141.1,1400014.4999999995
334,0.8257,293.5,1400307.9999999995
335,0.8256,157.2,1400465.1999999995
336,0.8255,188.3,1400653.4999999995
337,0.8254,142.6,1400796.0999999996
338,0.8253,64.9,1400860.9999999995
339,0.8252,29.8,1400890.7999999996
340,0.8251,129.9,1401020.6999999995
341,0.825,9479.4,1410500.0999999994
342,0.8249,37.7,1410537.7999999993
343,0.8248,32.2,1410569.9999999993
344,0.8247,34.8,1410604.7999999993
345,0.8246,509.8,1411114.5999999994
346,0.8245,107.5,1411222.0999999994
347,0.8244,162.2,1411384.2999999993
348,0.8243,109.9,1411494.1999999993
349,0.8242,304.2,1411798.3999999992
350,0.8241,88.1,1411886.4999999993
351,0.824,1165.1,1413051.5999999994
352,0.8239,137.4,1413188.9999999993
353,0.8238,340.3,1413529.2999999993
354,0.8236,122.7,1413651.9999999993
355,0.8235,1140.0,1414791.9999999993
356,0.8234,725.3,1415517.2999999993
357,0.8233,2899.9,1418417.1999999993
358,0.8232,77.1,1418494.2999999993
359,0.8231,88.8,1418583.0999999994
360,0.823,4634.5,1423217.5999999994
361,0.8229,88.6,1423306.1999999995
362,0.8228,281.8,1423587.9999999995
363,0.8227,6186.1,1429774.0999999996
364,0.8226,119.8,1429893.8999999997
365,0.8225,70.2,1429964.0999999996
366,0.8224,299.8,1430263.8999999997
367,0.8223,202.9,1430466.7999999996
368,0.8222,1549.3,1432016.0999999996
369,0.8221,3157.5,1435173.5999999996
370,0.822,378.8,1435552.3999999997
371,0.8219,1223.9,1436776.2999999996
372,0.8218,481.5,1437257.7999999996
373,0.8217,231.0,1437488.7999999996
374,0.8216,191.1,1437679.8999999997
375,0.8215,2430.3,1440110.1999999997
376,0.8214,111.7,1440221.8999999997
377,0.8213,651.5,1440873.3999999997
378,0.8212,103.4,1440976.7999999996
379,0.8211,299.2,1441275.9999999995
380,0.821,1747.5,1443023.4999999995
381,0.8209,181.6,1443205.0999999996
382,0.8208,232.7,1443437.7999999996
383,0.8207,1094.7,1444532.4999999995
384,0.8206,140.1,1444672.5999999996
385,0.8205,122.7,1444795.2999999996
386,0.8204,194.8,1444990.0999999996
387,0.8203,30.1,1445020.1999999997
388,0.8202,111.2,1445131.3999999997
389,0.8201,371.1,1445502.4999999998
390,0.82,62891.2,1508393.6999999997
391,0.8199,418.5,1508812.1999999997
392,0.8198,219.1,1509031.2999999998
393,0.8197,123.9,1509155.1999999997
394,0.8196,142.7,1509297.8999999997
395,0.8195,142.6,1509440.4999999998
396,0.8194,101.9,1509542.3999999997
397,0.8193,101.4,1509643.7999999996
398,0.8192,240.4,1509884.1999999995
399,0.8191,264.1,1510148.2999999996
400,0.819,3092.6,1513240.8999999997
401,0.8189,30.9,1513271.7999999996
402,0.8188,288.0,1513559.7999999996
403,0.8187,122.3,1513682.0999999996
404,0.8186,482.6,1514164.6999999997
405,0.8185,248.1,1514412.7999999998
406,0.8184,93.7,1514506.4999999998
407,0.8183,5268.9,1519775.3999999997
408,0.8182,58.7,1519834.0999999996
409,0.8181,1475.1,1521309.1999999997
410,0.818,2449.1,1523758.2999999998
411,0.8179,589.3,1524347.5999999999
412,0.8178,121.7,1524469.2999999998
413,0.8177,837.1,1525306.4
414,0.8176,188.0,1525494.4
415,0.8175,27.6,1525522.0
416,0.8174,415.7,1525937.7
417,0.8173,228.1,1526165.8
418,0.8172,50.3,1526216.1
419,0.8171,308.7,1526524.8
420,0.817,300.3,1526825.1
421,0.8169,55.1,1526880.2000000002
422,0.8168,142.2,1527022.4000000001
423,0.8167,128.2,1527150.6
424,0.8166,111.6,1527262.2000000002
425,0.8165,213.9,1527476.1
426,0.8164,14.0,1527490.1
427,0.8163,344.3,1527834.4000000001
428,0.8162,67.3,1527901.7000000002
429,0.8161,340.9,1528242.6
430,0.816,4456.3,1532698.9000000001
431,0.8159,374.8,1533073.7000000002
432,0.8158,43.5,1533117.2000000002
433,0.8157,104.6,1533221.8000000003
434,0.8156,258.7,1533480.5000000002
435,0.8155,6696.8,1540177.3000000003
436,0.8154,236.3,1540413.6000000003
437,0.8153,58.7,1540472.3000000003
438,0.8152,660.8,1541133.1000000003
439,0.8151,445.8,1541578.9000000004
440,0.815,8995.2,1550574.1000000003
441,0.8149,2465.2,1553039.3000000003
