spot_pairs,futures_usdt_pairs,futures_coin_pairs
BNBDAI,,
USDTDAI,,
BUSDDAI,,
JSTBNB,,
JSTBTC,,
JSTBUSD,,
JSTUSDT,,
SRMBNB,,
SRMBTC,,
SRMBUSD,,
SRMUSDT,,
ANTBNB,,
ANTBTC,,
ANTBUSD,,
ANTUSDT,,
CRVBNB,,
CRVBTC,,
CRVBUSD,,
CRVUSDT,,
SANDBNB,,
SANDBTC,,
SANDUSDT,,
SANDBUSD,,
OCEANBNB,,
OCEANBTC,,
OCEANBUSD,,
OCEANUSDT,,
NMRBTC,,
NMRBUSD,,
NMRUSDT,,
DOTBNB,,
DOTBTC,,
DOTBUSD,,
DOTUSDT,,
LUNABNB,,
LUNABTC,,
LUNABUSD,,
LUNAUSDT,,
IDEXBTC,,
IDEXBUSD,,
RSRBNB,,
RSRBTC,,
RSRBUSD,,
RSRUSDT,,
PAXGBNB,,
PAXGBTC,,
PAXGBUSD,,
PAXGUSDT,,
WNXMBNB,,
WNXMBTC,,
WNXMBUSD,,
WNXMUSDT,,
TRBBNB,,
TRBBTC,,
TRBBUSD,,
TRBUSDT,,
ETHNGN,,
DOTBIDR,,
LINKAUD,,
SXPAUD,,
BZRXBNB,,
BZRXBTC,,
BZRXBUSD,,
BZRXUSDT,,
WBTCBTC,,
WBTCETH,,
SUSHIBNB,,
SUSHIBTC,,
SUSHIBUSD,,
SUSHIUSDT,,
YFIIBNB,,
YFIIBTC,,
YFIIBUSD,,
YFIIUSDT,,
KSMBNB,,
KSMBTC,,
KSMBUSD,,
KSMUSDT,,
EGLDBNB,,
EGLDBTC,,
EGLDBUSD,,
EGLDUSDT,,
DIABNB,,
DIABTC,,
DIABUSD,,
DIAUSDT,,
RUNEUSDT,,
FIOUSDT,,
UMABTC,,
UMAUSDT,,
EOSUPUSDT,,
EOSDOWNUSDT,,
TRXUPUSDT,,
TRXDOWNUSDT,,
XRPUPUSDT,,
XRPDOWNUSDT,,
DOTUPUSDT,,
DOTDOWNUSDT,,
SRMBIDR,,
ONEBIDR,,
LINKTRY,,
USDTNGN,,
BELBNB,,
BELBTC,,
BELBUSD,,
BELUSDT,,
WINGBNB,,
WINGBTC,,
SWRVBNB,,
SWRVBUSD,,
WINGBUSD,,
WINGUSDT,,
LTCUPUSDT,,
LTCDOWNUSDT,,
LENDBKRW,,
SXPEUR,,
CREAMBNB,,
CREAMBUSD,,
UNIBNB,,
UNIBTC,,
UNIBUSD,,
UNIUSDT,,
NBSBTC,,
NBSUSDT,,
OXTBTC,,
OXTUSDT,,
SUNBTC,,
SUNUSDT,,
AVAXBNB,,
AVAXBTC,,
AVAXBUSD,,
AVAXUSDT,,
HNTBTC,,
HNTUSDT,,
BAKEBNB,,
BURGERBNB,,
SXPBIDR,,
LINKBKRW,,
FLMBNB,,
FLMBTC,,
FLMBUSD,,
FLMUSDT,,
SCRTBTC,,
SCRTETH,,
CAKEBNB,,
CAKEBUSD,,
SPARTABNB,,
UNIUPUSDT,,
UNIDOWNUSDT,,
ORNBTC,,
ORNUSDT,,
TRXNGN,,
SXPTRY,,
UTKBTC,,
UTKUSDT,,
XVSBNB,,
XVSBTC,,
XVSBUSD,,
XVSUSDT,,
ALPHABNB,,
ALPHABTC,,
ALPHABUSD,,
ALPHAUSDT,,
VIDTBTC,,
VIDTBUSD,,
AAVEBNB,,
BTCBRL,,
USDTBRL,,
AAVEBTC,,
AAVEETH,,
AAVEBUSD,,
AAVEUSDT,,
AAVEBKRW,,
NEARBNB,,
NEARBTC,,
NEARBUSD,,
NEARUSDT,,
SXPUPUSDT,,
SXPDOWNUSDT,,
DOTBKRW,,
SXPGBP,,
FILBNB,,
FILBTC,,
FILBUSD,,
FILUSDT,,
FILUPUSDT,,
FILDOWNUSDT,,
YFIUPUSDT,,
YFIDOWNUSDT,,
INJBNB,,
INJBTC,,
INJBUSD,,
INJUSDT,,
AERGOBTC,,
AERGOBUSD,,
LINKEUR,,
ONEBUSD,,
EASYETH,,
AUDIOBTC,,
AUDIOBUSD,,
AUDIOUSDT,,
CTKBNB,,
CTKBTC,,
CTKBUSD,,
CTKUSDT,,
BCHUPUSDT,,
BCHDOWNUSDT,,
BOTBTC,,
BOTBUSD,,
ETHBRL,,
DOTEUR,,
AKROBTC,,
AKROUSDT,,
KP3RBNB,,
KP3RBUSD,,
AXSBNB,,
AXSBTC,,
AXSBUSD,,
AXSUSDT,,
HARDBNB,,
HARDBTC,,
HARDBUSD,,
HARDUSDT,,
BNBBRL,,
LTCEUR,,
RENBTCBTC,,
RENBTCETH,,
DNTBUSD,,
DNTUSDT,,
SLPETH,,
ADAEUR,,
LTCNGN,,
CVPETH,,
CVPBUSD,,
STRAXBTC,,
STRAXETH,,
STRAXBUSD,,
STRAXUSDT,,
FORBTC,,
FORBUSD,,
UNFIBNB,,
UNFIBTC,,
UNFIBUSD,,
UNFIUSDT,,
FRONTETH,,
FRONTBUSD,,
BCHABUSD,,
ROSEBTC,,
ROSEBUSD,,
ROSEUSDT,,
AVAXTRY,,
BUSDBRL,,
AVAUSDT,,
SYSBUSD,,
XEMUSDT,,
HEGICETH,,
HEGICBUSD,,
AAVEUPUSDT,,
AAVEDOWNUSDT,,
PROMBNB,,
PROMBUSD,,
XRPBRL,,
XRPNGN,,
SKLBTC,,
SKLBUSD,,
SKLUSDT,,
BCHEUR,,
YFIEUR,,
ZILBIDR,,
SUSDBTC,,
SUSDETH,,
SUSDUSDT,,
COVERETH,,
COVERBUSD,,
GLMBTC,,
GLMETH,,
GHSTETH,,
GHSTBUSD,,
SUSHIUPUSDT,,
SUSHIDOWNUSDT,,
XLMUPUSDT,,
XLMDOWNUSDT,,
LINKBRL,,
LINKNGN,,
LTCRUB,,
TRXTRY,,
XLMEUR,,
DFETH,,
DFBUSD,,
GRTBTC,,
GRTETH,,
GRTUSDT,,
JUVBTC,,
JUVBUSD,,
JUVUSDT,,
PSGBTC,,
PSGBUSD,,
PSGUSDT,,
BUSDBVND,,
USDTBVND,,
1INCHBTC,,
1INCHUSDT,,
REEFBTC,,
REEFUSDT,,
OGBTC,,
OGUSDT,,
ATMBTC,,
ATMUSDT,,
ASRBTC,,
ASRUSDT,,
CELOBTC,,
CELOUSDT,,
RIFBTC,,
RIFUSDT,,
CHZTRY,,
XLMTRY,,
LINKGBP,,
GRTEUR,,
BTCSTBTC,,
BTCSTBUSD,,
BTCSTUSDT,,
TRUBTC,,
TRUBUSD,,
TRUUSDT,,
DEXEETH,,
DEXEBUSD,,
EOSEUR,,
LTCBRL,,
