,ATOMUSDT,AXSUSDT,date,rolling_hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,returns
1138,7.366,4.56,2023-09-18 21:00:00,0.6745367858521394,-0.40863796458685897,-0.7557085250658468,0.14486637553696505,2.3957979150960886,-1,801.595315937111,-1114.9837286904278,10196.272458897209,0.0006433592814839584
1139,7.392,4.57,2023-09-18 22:00:00,0.6691097913559498,-0.376059577703181,-0.7393040889582833,0.15887635756141924,2.2863345864074036,-1,801.595315937111,-1114.9837286904278,10205.96409982467,0.0009500567870142681
1140,7.384,4.53,2023-09-18 23:00:00,0.6632714488287312,-0.3675963781513518,-0.7226748048326022,0.17076980136157563,2.079281136653857,-1,801.595315937111,-1114.9837286904278,10244.150686444791,0.0037346128765175157
1141,7.345,4.5,2023-09-19 00:00:00,0.6578435923847126,-0.3318611860657139,-0.7058150263526455,0.18351874918317934,2.037687385901205,-1,801.595315937111,-1114.9837286904278,10246.337980983957,0.00021349364409755896
1142,7.349,4.52,2023-09-19 01:00:00,0.6526127884678072,-0.276051382449916,-0.6875587390108053,0.19804967475955398,2.077798699040974,-1,801.595315937111,-1114.9837286904278,10227.244687673898,-0.0018651644076436366
1143,7.349,4.55,2023-09-19 02:00:00,0.6477189116209552,-0.2100862815023996,-0.6660745758484784,0.21364754163435956,2.134301620593724,-1,801.595315937111,-1114.9837286904278,10193.795175813184,-0.0032759880985104048
1144,7.329,4.55,2023-09-19 03:00:00,0.643360426418833,-0.16518856522362668,-0.6445221855425636,0.2303999668032876,2.0804413601681877,-1,801.595315937111,-1114.9837286904278,10177.76326949444,-0.0015739502376770965
1145,7.331,4.59,2023-09-19 04:00:00,0.6395517343942583,-0.09855376484430778,-0.6207403021142319,0.2486170102470075,2.1003652837395084,-1,801.595315937111,-1114.9837286904278,10134.767110978699,-0.004233467906363407
1146,7.296,4.57,2023-09-19 05:00:00,0.6361972446038477,-0.07169509662967322,-0.5960826482349176,0.26518387973077756,1.977448825839708,-1,801.595315937111,-1114.9837286904278,10129.010949494708,-0.0005681232415431804
1147,7.229,4.57,2023-09-19 06:00:00,0.6339423406285274,-0.01276918040362407,-0.5699898654048353,0.28280574096568895,1.9703301746933608,-1,801.595315937111,-1114.9837286904278,10075.304063326921,-0.005316390348427344
1148,7.227,4.57,2023-09-19 07:00:00,0.6316635244412822,0.004967708862854359,-0.5421697665377014,0.2970739645676783,1.8417550531457256,-1,801.595315937111,-1114.9837286904278,10073.700872695048,-0.00015913347982660444
1149,7.379,4.6,2023-09-19 08:00:00,0.6274802973569641,-0.030177114197037724,-0.5165896792522068,0.3071901170023148,1.583425175919653,-1,801.595315937111,-1114.9837286904278,10162.093848856775,0.008736354522795657
1150,7.401,4.63,2023-09-19 09:00:00,0.623503578160223,0.015450018036189839,-0.48839689833504824,0.3160856167238975,1.594020384709093,-1,801.595315937111,-1114.9837286904278,10146.279433946678,-0.0015574283460788978
1151,7.378,4.6,2023-09-19 10:00:00,0.6188338628351868,0.03424376000199114,-0.4595083893165361,0.3230866341390624,1.528234526427383,-1,801.595315937111,-1114.9837286904278,10161.29225354084,0.0014785443144208492
1152,7.385,4.6,2023-09-19 11:00:00,0.6136496601765316,0.06819725959631384,-0.42908852196531727,0.3285147257212672,1.513739697573131,-1,801.595315937111,-1114.9837286904278,10166.903420752398,0.0005520575897607112
1153,7.381,4.59,2023-09-19 12:00:00,0.6078486231972041,0.10346931218143585,-0.3957189029489045,0.33012153859404847,1.5121346436719287,-1,801.595315937111,-1114.9837286904278,10174.846876775555,0.0007810002886416811
