time,xrp_close,theta_close
2022-06-07 19:30:00,0.4063,1.236
2022-06-07 20:30:00,0.4073,1.24
2022-06-07 21:30:00,0.4084,1.251
2022-06-07 22:30:00,0.407,1.268
2022-06-07 23:30:00,0.4041,1.269
2022-06-08 0:30:00,0.3968,1.243
2022-06-08 1:30:00,0.3986,1.283
2022-06-08 2:30:00,0.3997,1.348
2022-06-08 3:30:00,0.3997,1.324
2022-06-08 4:30:00,0.3984,1.368
2022-06-08 5:30:00,0.3996,1.336
2022-06-08 6:30:00,0.401,1.372
2022-06-08 7:30:00,0.3985,1.375
2022-06-08 8:30:00,0.3987,1.376
2022-06-08 9:30:00,0.3966,1.344
2022-06-08 10:30:00,0.402,1.36
2022-06-08 11:30:00,0.4005,1.339
2022-06-08 12:30:00,0.4024,1.34
2022-06-08 13:30:00,0.4001,1.342
2022-06-08 14:30:00,0.4005,1.348
2022-06-08 15:30:00,0.3987,1.34
2022-06-08 16:30:00,0.3999,1.336
2022-06-08 17:30:00,0.4005,1.331
2022-06-08 18:30:00,0.4027,1.37
2022-06-08 19:30:00,0.402,1.355
2022-06-08 20:30:00,0.4003,1.323
2022-06-08 21:30:00,0.4,1.332
2022-06-08 22:30:00,0.3987,1.337
2022-06-08 23:30:00,0.4005,1.355
2022-06-09 0:30:00,0.4012,1.356
2022-06-09 1:30:00,0.4012,1.369
2022-06-09 2:30:00,0.4023,1.36
2022-06-09 3:30:00,0.4022,1.364
2022-06-09 4:30:00,0.4019,1.4
2022-06-09 5:30:00,0.4034,1.392
2022-06-09 6:30:00,0.403,1.422
2022-06-09 7:30:00,0.4019,1.415
2022-06-09 8:30:00,0.401,1.4
2022-06-09 9:30:00,0.3984,1.4
2022-06-09 10:30:00,0.3991,1.402
2022-06-09 11:30:00,0.3986,1.424
2022-06-09 12:30:00,0.4004,1.44
2022-06-09 13:30:00,0.4021,1.439
2022-06-09 14:30:00,0.4015,1.459
2022-06-09 15:30:00,0.4004,1.425
2022-06-09 16:30:00,0.3991,1.411
2022-06-09 17:30:00,0.3999,1.44
2022-06-09 18:30:00,0.4004,1.428
2022-06-09 19:30:00,0.4003,1.408
2022-06-09 20:30:00,0.4,1.42
2022-06-09 21:30:00,0.3981,1.391
2022-06-09 22:30:00,0.3983,1.452
2022-06-09 23:30:00,0.4012,1.455
2022-06-10 0:30:00,0.4029,1.456
2022-06-10 1:30:00,0.4041,1.453
2022-06-10 2:30:00,0.4065,1.432
2022-06-10 3:30:00,0.4085,1.422
2022-06-10 4:30:00,0.4051,1.426
2022-06-10 5:30:00,0.4047,1.39
2022-06-10 6:30:00,0.4,1.38
2022-06-10 7:30:00,0.4007,1.394
2022-06-10 8:30:00,0.4007,1.387
2022-06-10 9:30:00,0.3927,1.329
2022-06-10 10:30:00,0.3887,1.322
2022-06-10 11:30:00,0.3894,1.344
2022-06-10 12:30:00,0.3871,1.334
2022-06-10 13:30:00,0.381,1.315
2022-06-10 14:30:00,0.3821,1.314
2022-06-10 15:30:00,0.3819,1.301
2022-06-10 16:30:00,0.3813,1.3
2022-06-10 17:30:00,0.383,1.32
2022-06-10 18:30:00,0.3841,1.332
2022-06-10 19:30:00,0.3853,1.329
2022-06-10 20:30:00,0.3811,1.307
2022-06-10 21:30:00,0.3832,1.347
2022-06-10 22:30:00,0.3841,1.364
2022-06-10 23:30:00,0.3844,1.378
2022-06-11 0:30:00,0.3845,1.396
2022-06-11 1:30:00,0.386,1.393
2022-06-11 2:30:00,0.3849,1.38
2022-06-11 3:30:00,0.3863,1.385
2022-06-11 4:30:00,0.3879,1.378
2022-06-11 5:30:00,0.3808,1.333
2022-06-11 6:30:00,0.3823,1.348
2022-06-11 7:30:00,0.3805,1.335
2022-06-11 8:30:00,0.3759,1.296
2022-06-11 9:30:00,0.3707,1.268
2022-06-11 10:30:00,0.3732,1.286
2022-06-11 11:30:00,0.3647,1.228
2022-06-11 12:30:00,0.3602,1.204
2022-06-11 13:30:00,0.3615,1.211
2022-06-11 14:30:00,0.362,1.199
2022-06-11 15:30:00,0.3653,1.208
2022-06-11 16:30:00,0.3661,1.21
2022-06-11 17:30:00,0.3602,1.191
2022-06-11 18:30:00,0.3649,1.213
2022-06-11 19:30:00,0.3648,1.237
2022-06-11 20:30:00,0.3596,1.214
2022-06-11 21:30:00,0.3606,1.245
2022-06-11 22:30:00,0.3504,1.192
2022-06-11 23:30:00,0.3412,1.129
2022-06-12 0:30:00,0.3443,1.145
2022-06-12 1:30:00,0.3435,1.101
2022-06-12 2:30:00,0.3429,1.098
2022-06-12 3:30:00,0.3446,1.132
2022-06-12 4:30:00,0.3482,1.154
2022-06-12 5:30:00,0.3496,1.156
2022-06-12 6:30:00,0.3477,1.143
2022-06-12 7:30:00,0.3479,1.14
2022-06-12 8:30:00,0.3494,1.144
2022-06-12 9:30:00,0.348,1.141
2022-06-12 10:30:00,0.3461,1.104
2022-06-12 11:30:00,0.356,1.167
2022-06-12 12:30:00,0.3601,1.182
2022-06-12 13:30:00,0.3588,1.158
2022-06-12 14:30:00,0.3605,1.172
2022-06-12 15:30:00,0.36,1.164
2022-06-12 16:30:00,0.3525,1.153
2022-06-12 17:30:00,0.354,1.139
2022-06-12 18:30:00,0.354,1.14
2022-06-12 19:30:00,0.348,1.107
2022-06-12 20:30:00,0.343,1.083
2022-06-12 21:30:00,0.3403,1.055
2022-06-12 22:30:00,0.3314,1.047
2022-06-12 23:30:00,0.3306,1.023
2022-06-13 0:30:00,0.331,1.034
2022-06-13 1:30:00,0.3304,1.037
2022-06-13 2:30:00,0.3232,1.021
2022-06-13 3:30:00,0.3235,1.033
2022-06-13 4:30:00,0.3198,1.008
2022-06-13 5:30:00,0.3059,0.971
2022-06-13 6:30:00,0.3143,0.996
2022-06-13 7:30:00,0.3111,0.99
2022-06-13 8:30:00,0.3098,0.983
2022-06-13 9:30:00,0.3089,0.98
2022-06-13 10:30:00,0.3137,1.016
2022-06-13 11:30:00,0.306,0.974
2022-06-13 12:30:00,0.3137,1.012
2022-06-13 13:30:00,0.3168,1.103
2022-06-13 14:30:00,0.3169,1.092
2022-06-13 15:30:00,0.3161,1.1
2022-06-13 16:30:00,0.3192,1.148
2022-06-13 17:30:00,0.3199,1.188
2022-06-13 18:30:00,0.3148,1.148
2022-06-13 19:30:00,0.3067,1.104
2022-06-13 20:30:00,0.3115,1.155
2022-06-13 21:30:00,0.3038,1.092
2022-06-13 22:30:00,0.2938,1.029
2022-06-13 23:30:00,0.3065,1.102
2022-06-14 0:30:00,0.314,1.159
2022-06-14 1:30:00,0.3109,1.136
2022-06-14 2:30:00,0.3208,1.196
2022-06-14 3:30:00,0.3191,1.209
2022-06-14 4:30:00,0.3197,1.211
2022-06-14 5:30:00,0.317,1.18
2022-06-14 6:30:00,0.3123,1.154
2022-06-14 7:30:00,0.3126,1.145
