,timestamp,THETAUSDT,XRPUSDT,hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,strategy_returns,cumulative_strategy_returns
198,1697677200000,0.578,0.4839,0.820407069285341,0.00970471395307293,-0.0004051091294833368,0.0046552802839240305,2.1716894506799687,-1,-0.0013018785795727017,0.998814402068087
199,1697680800000,0.574,0.4832,0.8207070514434293,0.012114152471471684,-0.00020114986979389725,0.0047966421218980535,2.567484091640416,-1,-0.0024094385183987543,0.9964078201750127
200,1697684400000,0.576,0.4834,0.8209404994389042,0.010538272323191211,-4.035162321716388e-05,0.004911313716556808,2.1539295913323917,-1,0.001575880148280473,0.9979780394784178
201,1697688000000,0.578,0.4823,0.8210968238914376,0.007706035790749133,7.128622276913774e-05,0.004972236825799387,1.5354758502985335,-1,0.0028322365324420784,1.0008045493404034
202,1697691600000,0.58,0.4834,0.821245435060741,0.007077647664770259,0.00017596983608735172,0.0050197689872504715,1.3748994916324293,-1,0.0006283881259788737,1.0014334430356344
203,1697695200000,0.58,0.48,0.8213193237349671,0.0036347922337190974,0.00023378634293571443,0.00502940559432361,0.676224223121296,-1,0.0034428554310511617,1.0048812336038258
204,1697698800000,0.581,0.4799,0.821357814659158,0.0026911096830292136,0.00026963979418762854,0.005035356532354258,0.4808934329242895,-1,0.0009436825506898838,1.0058295224894933
205,1697702400000,0.579,0.4803,0.8214345523762702,0.004689394174139605,0.00032849984027938064,0.005055901797239222,0.8625354108423334,-1,-0.0019982844911103914,1.0038195889540016
206,1697706000000,0.577,0.479,0.8215578234220227,0.004961135885492962,0.00041453489605281315,0.005068242754643251,0.8970764048890117,-1,-0.0002717417113533571,1.0035468093010091
207,1697709600000,0.577,0.4828,0.8217712387254386,0.00863799525542197,0.0005537162539901232,0.005120478581897469,1.5788131660217,-1,-0.0036768593699290086,0.9998569088120683
208,1697713200000,0.578,0.4822,0.8219506865719968,0.007112503161385897,0.0006703330454353809,0.005149248570948916,1.251089363270598,-1,0.0015254920940360739,1.0013821826216287
209,1697716800000,0.576,0.4832,0.8221743923634562,0.009627549998649232,0.0008129233130558602,0.005217938931958509,1.6892928032572578,-1,-0.002515046837263335,0.9988636595303343
