ticker,date,open,high,low,close,volume,closeadj,closeunadj,lastupdated,log_returns,H-L,H-PC,L-PC,TR,ATR,ma_fast,ma_slow,macd,signal,rsi,+di,-di,dx,adx,%K,%D,rolling_mean,rolling_std,upper_band,lower_band
LND,2023-03-29,5.0,5.0,4.8,4.84,29490.0,4.84,4.84,2023-03-29,-0.03850526338310754,0.20000000000000018,0.03000000000000025,0.23000000000000043,0.23000000000000043,0.16568988510970306,4.832959364260192,4.948310396888315,-0.11535103262812374,-0.14095652923976817,41.72185430463577,19.14470640885733,15.236076542683016,11.36864704821738,28.31052569815633,53.333333333333336,57.33176838810644,4.898000000000001,0.1965920167571488,5.291184033514298,4.504815966485703
LND,2023-03-30,4.94,4.94,4.77,4.81,46896.0,4.81,4.81,2023-03-30,-0.006217636610870562,0.17000000000000082,0.10000000000000053,0.07000000000000028,0.17000000000000082,0.16597722610238957,4.829427154374009,4.938065182303996,-0.10863802792998722,-0.13449282897781198,42.56756756756755,22.44810673038559,20.217987789263574,5.226911359545624,25.232710453008234,56.86274509803915,61.73202614379085,4.888,0.19567965227841375,5.279359304556827,4.496640695443173
LND,2023-03-31,4.88,4.88,4.78,4.81,37366.0,4.81,4.81,2023-03-31,0.0,0.09999999999999964,0.07000000000000028,0.02999999999999936,0.09999999999999964,0.16157874436223024,4.826438361393392,4.928578872503699,-0.10214051111030731,-0.12802236540431106,46.66666666666664,33.07354391610171,28.454502009515153,7.507213721967801,22.869310888869514,56.86274509803915,55.68627450980389,4.874,0.19041229504754814,5.254824590095096,4.493175409904904
LND,2023-04-03,4.81,4.81,4.74,4.77,24371.0,4.77,4.77,2023-04-03,-0.008350779217419963,0.0699999999999994,0.0,0.0699999999999994,0.0699999999999994,0.1554734947380815,4.81775553656364,4.916832289355278,-0.09907675279163808,-0.12223324288177646,47.36842105263157,40.948197229459474,42.84843105939997,2.2676733762963686,20.122425887193092,49.01960784313719,54.24836601307183,4.8495,0.1683816154485514,5.186263230897103,4.512736769102897
LND,2023-04-04,4.82,4.99,4.73,4.99,63167.0,4.99,4.99,2023-04-04,0.04508960486317758,0.2599999999999998,0.22000000000000064,0.03999999999999915,0.2599999999999998,0.1624419284222094,4.844254684784618,4.922252119773405,-0.07799743498878708,-0.11338608130317859,57.43243243243244,18.785348584309737,9.99796724719325,30.529426799044483,21.510026008773277,92.15686274509804,66.0130718954248,4.84,0.15345151814519067,5.146903036290381,4.533096963709618
LND,2023-04-05,4.9,4.9,4.605,4.66,78423.0,4.66,4.66,2023-04-05,-0.06842046162587286,0.29499999999999993,0.08999999999999986,0.3849999999999998,0.3849999999999998,0.1772791331940621,4.8159078102023685,4.902826036827227,-0.08691822662485826,-0.10809251036751455,46.067415730337096,10.99471484241851,10.180628449439514,3.8445015117748524,19.15462274250682,27.45098039215694,56.20915032679739,4.8149999999999995,0.1385830550893786,5.0921661101787565,4.5378338898212425
LND,2023-04-06,4.65,4.82,4.635,4.82,36062.0,4.82,4.82,2023-04-06,0.033758479924954454,0.1850000000000005,0.16000000000000014,0.025000000000000355,0.1850000000000005,0.17779385764779135,4.8165373778635425,4.896690774840025,-0.08015339697648205,-0.10250468768930804,54.143646408839786,19.830107310379987,16.199655996196306,10.076256353094156,17.94417389058513,58.82352941176477,59.47712418300659,4.8015,0.12261514459568801,5.046730289191376,4.556269710808624
LND,2023-04-10,4.76,4.81,4.69,4.79,48642.0,4.79,4.79,2023-04-10,-0.006243516639685159,0.11999999999999922,0.010000000000000675,0.1299999999999999,0.1299999999999999,0.1746076004712719,4.812454704346075,4.888787754481505,-0.07633305013543001,-0.09727036017853244,51.95530726256984,23.43149132382764,19.979575728642182,7.951694877744465,16.61184335553971,52.94117647058825,46.40522875816999,4.789499999999999,0.11019002724962931,5.009880054499258,4.5691199455007405
LND,2023-04-11,4.88,5.0,4.87,4.92,74924.0,4.92,4.92,2023-04-11,0.026778119081392885,0.1299999999999999,0.20999999999999996,0.08000000000000007,0.20999999999999996,0.17696709377318712,4.829000134446678,4.89109977266806,-0.062099638221381426,-0.09023621578710225,52.74725274725273,24.634673122942466,10.719200946477862,39.36052990724693,19.645001562434008,78.43137254901957,63.39869281045753,4.7905,0.11133047060091601,5.013160941201832,4.567839058798167
LND,2023-04-12,5.08,5.17,4.98,4.99,139838.0,4.99,4.99,2023-04-12,0.014127379259210709,0.1899999999999995,0.25,0.0600000000000005,0.25,0.18183595418830797,4.853769344531805,4.898425715433389,-0.04465637090158392,-0.08112024680999859,58.192090395480214,27.00070870016878,7.803578289035882,55.15737304742753,24.37998442709981,72.30769230769236,67.89341377576675,4.798,0.11958700862380449,5.037174017247609,4.558825982752391
LND,2023-04-13,5.0,5.04,4.95,4.99,39860.0,4.99,4.99,2023-04-13,0.0,0.08999999999999986,0.04999999999999982,0.040000000000000036,0.08999999999999986,0.17571355724242077,4.874727906911527,4.905208995771656,-0.030481088860129013,-0.07099241522002468,62.42424242424241,65.00170613003606,23.230836621753127,47.341794994835844,27.441559169464615,70.24793388429755,73.66233291366983,4.809,0.1267778828461746,5.062555765692349,4.555444234307651
