,VCSH,HYG,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,returns
93,74.316,71.879,-42.15525222852477,-43.00768947753831,0.6654461222524439,1.2810011517208189,-1,109.51353984362979,-71.3698565822961,10173.142954909472,-0.002598176623302002
94,74.624,72.658,-41.84886310217762,-42.61131405527724,0.6424898528211586,1.1867128325089003,-1,109.51353984362979,-71.3698565822961,10151.276006903701,-0.0021517915453553014
95,74.919,72.602,-42.35752611428019,-42.42047870557788,0.5106236451053742,0.1232856956412511,-1,109.51353984362979,-71.3698565822961,10187.57921312618,0.003569841506126033
96,75.007,72.389,-42.705557792466735,-42.318656027153125,0.332278170595084,-1.1643911624428989,0,0.0,0.0,10212.41818408445,0.0024351947453302484
97,75.036,71.983,-43.15605686823274,-42.444651221136404,0.5050931294190726,-1.4084643121448719,0,0.0,0.0,10212.41818408445,0.0
98,74.968,72.302,-42.732714207815874,-42.56014361699463,0.48811174883680875,-0.3535472998396122,0,0.0,0.0,10212.41818408445,0.0
99,74.801,72.235,-42.543460909439176,-42.69906317844694,0.2961745417032935,0.5253735453185816,0,0.0,0.0,10212.41818408445,0.0
100,74.762,72.389,-42.32961732478833,-42.69348142054857,0.3043699759718172,1.195466453609516,0,0.0,0.0,10212.41818408445,0.0
101,74.85,72.37,-42.48364900297483,-42.64909966265019,0.3180406544876453,0.5202185863373165,0,0.0,0.0,10212.41818408445,0.0
102,74.997,72.863,-42.216213283581894,-42.46113094572003,0.19894926978795155,1.231055848554654,0,0.0,0.0,10212.41818408445,0.0
103,74.83,72.727,-42.09595998520517,-42.33378010119788,0.18494892669790539,1.285869132839931,0,0.0,0.0,10212.41818408445,0.0
104,74.673,72.534,-42.0480511957133,-42.2346981584527,0.1770686527457118,1.0540937644533057,0,0.0,0.0,10212.41818408445,0.0
105,74.693,72.582,-42.03074021348297,-42.17492273619163,0.18717433103039577,0.7703114092350989,0,0.0,0.0,10212.41818408445,0.0
