,VCSH,HYG,rolling_hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,current_hedge_ratio,returns
121,78.057,76.689,1.9388475035278183,-74.65161958287092,-14.916167532606693,28.93416768097267,-2.064529821935978,1,-738.027061601681,651.712047548911,100109.41803291379,1.1324434838628514,0.00030054103095778254
122,77.963,76.319,1.9592258842232617,-76.42812761169814,-17.66248495409187,30.738034708809273,-1.9118217288226471,1,-738.027061601681,651.712047548911,100281.1769467163,1.1324434838628514,0.0017142416876521629
123,78.029,76.592,2.0029499057850972,-79.69617819850534,-20.54455637370423,32.37826881125259,-1.8268926658686533,1,-738.027061601681,651.712047548911,100151.96934380117,1.1324434838628514,-0.0012892839652960324
124,78.095,76.839,2.0781083185293996,-85.45086913555346,-23.672054363986145,33.98038053950808,-1.8180730701275911,1,-738.027061601681,651.712047548911,100039.70625412231,1.1324434838628514,-0.0011215561397488532
125,78.057,76.698,2.1226008505794582,-88.98585459368077,-27.00912512722184,35.33397778064969,-1.7540263893073451,1,-738.027061601681,651.712047548911,100103.55262448583,1.1324434838628514,0.000638006724652973
126,78.057,76.513,2.131169336461282,-89.83968489615827,-30.410958036822972,36.32618467614271,-1.6359749142156739,1,-738.027061601681,651.712047548911,100224.11935328238,1.1324434838628514,0.0012036953473625264
127,78.01,76.31,2.1473077162645318,-91.20147494579612,-33.89687692789475,36.991048031232744,-1.5491477281075474,1,-738.027061601681,651.712047548911,100321.72962703953,1.1324434838628514,0.0009734460420036781
128,78.142,76.636,2.1310732916195367,-89.89032915373383,-37.31437343371465,37.278774786213276,-1.4103455926739101,1,-738.027061601681,651.712047548911,100206.69107167001,1.1324434838628514,-0.0011473542512191097
129,78.142,76.75,2.0754596879978053,-85.4305709395245,-40.560615353058374,37.08001271289301,-1.210084687238106,1,-738.027061601681,651.712047548911,100132.39589824944,1.1324434838628514,-0.0007416942739447535
130,78.171,76.839,2.042715517439776,-82.84211471378475,-43.699298617904866,36.51813326412393,-1.071873411840974,1,-738.027061601681,651.712047548911,100095.79631080403,1.1324434838628514,-0.00036557876739768313
131,78.218,76.847,2.0046401846225064,-79.95194596080323,-46.69059184341772,35.65094130415027,-0.9329726761944829,1,-738.027061601681,651.712047548911,100125.26988631893,1.1324434838628514,0.00029441033641065703
132,78.218,76.874,1.976944964411073,-77.75868122630533,-49.539800467726515,34.55137925937064,-0.8167222658969714,1,-738.027061601681,651.712047548911,100107.6736610351,1.1324434838628514,-0.000175757545360741
133,78.19,76.839,1.9465566948075643,-75.36226796700345,-52.23331007734289,33.242150164035664,-0.6957720176200736,1,-738.027061601681,651.712047548911,100109.81882497447,1.1324434838628514,2.14283368832422e-05
134,78.199,76.812,1.894692184092601,-71.35103410385732,-54.76227913519134,31.62227349491395,-0.5245908385219067,1,-738.027061601681,651.712047548911,100134.0572938127,1.1324434838628514,0.00024208949033953055
135,78.208,77.042,1.8801773099865287,-70.00290705942643,-57.19777309672656,29.774884120500925,-0.43006494704989123,1,-738.027061601681,651.712047548911,99990.80576643086,1.1324434838628514,-0.0014316217351301238
136,78.246,77.139,1.846673336351629,-67.35580187616956,-59.45485725445202,27.759807639199288,-0.28461813296431904,0,0.0,0.0,99955.63472615948,1.0,-0.00035180461875176114
137,78.133,76.98,1.817516519719786,-65.02801823526603,-61.539426040373264,25.598633987231906,-0.1362804045181789,0,0.0,0.0,99955.63472615948,1.0,0.0
138,78.227,77.148,1.8012854347002323,-63.76115570029509,-63.44711714603706,23.39553365365237,-0.013423013080490577,0,0.0,0.0,99955.63472615948,1.0,0.0
139,78.227,77.175,1.8019791386511497,-63.7884220792635,-65.18878962195188,21.243872897848078,0.06591865567178373,0,0.0,0.0,99955.63472615948,1.0,0.0
140,78.265,77.228,1.8004716817489104,-63.68591617207848,-66.78868676861649,19.08511013792995,0.1625754619236663,0,0.0,0.0,99955.63472615948,1.0,0.0
141,78.293,77.29,1.7948151357695123,-63.23146142480245,-68.21134512717009,16.996022485409036,0.29300288974334077,0,0.0,0.0,99955.63472615948,1.0,0.0
142,78.331,77.431,1.7713324579900096,-61.319242766815464,-69.3350049425565,15.243073426851858,0.5258625968186077,0,0.0,0.0,99955.63472615948,1.0,0.0
143,78.322,77.458,1.751834471854575,-59.749179504594025,-70.20785895973829,13.806074146804878,0.7575418865590188,0,0.0,0.0,99955.63472615948,1.0,0.0
144,78.274,77.387,1.6573374032646295,-52.3394279031356,-70.6595107612538,12.93710805119636,1.4160879530123465,0,0.0,0.0,99955.63472615948,1.0,0.0
145,78.274,77.378,1.591199398890484,-47.17154174875374,-70.77497810762088,12.701573553622463,1.8583080481501042,0,0.0,0.0,99955.63472615948,1.0,0.0
146,78.142,77.272,1.5510107807004994,-43.92708442549841,-70.6214859000646,13.003865515271572,2.0528051019303937,-1,991.9906519671531,-639.5768903160879,99955.63472615948,1.5510107807004994,0.0
147,78.085,77.325,1.5056994368434125,-40.247540525917856,-70.19847466491284,13.782064095294926,2.1731820380388425,-1,991.9906519671531,-639.5768903160879,100046.07576850837,1.5510107807004994,0.0009044027502549151
148,78.038,77.29,1.4478637801833898,-35.69839367795136,-69.43160975433038,15.027459299149315,2.244771747828897,-1,991.9906519671531,-639.5768903160879,100070.31413798976,1.5510107807004994,0.00024224272295975133
149,78.01,77.44,1.3919179760880294,-31.14352131462718,-68.28329134157573,16.568141175817864,2.2416377089516923,-1,991.9906519671531,-639.5768903160879,100194.02640979223,1.5510107807004994,0.001235489924972751
150,78.104,77.493,1.3860127112213783,-30.760136797234537,-66.93501680803683,17.913096208524344,2.019465512253972,-1,991.9906519671531,-639.5768903160879,100134.67686369407,1.5510107807004994,-0.0005925216593003044
