industry,ev,marketcap,evebit,evebitda,pb,pe,ps,beta1y,beta5y,dividendyieldforward,dividendyieldtrailing,return1y,return5y,volume,volumeavg1m,volumeavg3m
Food Products,12056.257692307692,9343.025,27.641176470588235,22.936842105263157,3.4539999999999997,22.420689655172417,91.72156862745098,0.5803846153846155,0.7045098039215686,1.3680769230769232,1.3984615384615384,-16.637142857142855,16.288499999999996,1018857.1538461539,1201691.0961538462,1262605.923076923
Medical Equipment,5989.305555555556,5300.415,72.4921875,27.014492753623188,5.0392638036809805,90.39999999999999,19.412422360248446,0.8903314917127071,1.1300000000000001,0.3211049723756906,0.31497237569060776,-21.787200000000002,-4.035206611570248,952048.408839779,1534882.6353591161,1210609.0607734807
Automobiles and Trucks,27732.72051282052,21958.144871794873,28.30652173913044,16.470000000000002,21.04794520547945,25.3125,7.282432432432434,1.2710256410256413,1.5466233766233768,1.027179487179487,1.328974358974359,-3.352027027027026,28.65288461538461,5277087.08974359,5427018.935897436,6304975.025641026
Utilities,26006.498095238097,13613.49619047619,35.78387096774194,12.749473684210527,2.1705882352941175,41.1964705882353,3.9174757281553396,0.7521904761904761,0.9389423076923078,3.9392307692307686,3.9791428571428566,-8.864368932038836,25.844838709677415,1478416.9523809524,1712839.561904762,1729348.0476190476
Measuring and Control Equipment,13260.15890410959,12039.305479452056,45.77777777777778,19.058974358974357,4.689705882352943,45.903124999999996,17.60142857142857,1.1214864864864869,1.1655405405405406,0.415,0.4075675675675675,-14.405068493150681,62.183818181818175,584331.5540540541,700189.3648648649,718972.5
Precious Metals,3984.504166666666,3796.025,67.65625,134.4818181818182,5.67608695652174,154.65,27.92068965517241,0.9231250000000001,0.7141666666666667,0.8157446808510639,0.9647916666666667,-1.047391304347827,50.31878787878788,1501833.0833333333,1605772.7708333333,1699697.3333333333
Almost Nothing,18634.461538461543,13722.284615384617,33.67999999999999,19.872727272727275,4.216666666666666,56.975,6.430769230769231,0.6523076923076924,0.8153846153846155,0.586923076923077,0.5723076923076923,-0.35692307692307834,85.47300000000001,661877.6923076923,948750.3846153846,954832.5384615385
Agriculture,1038.9368421052634,807.9421052631578,20.59090909090909,17.984615384615385,1.2647058823529411,12.2875,1.1388888888888888,0.8468421052631578,1.1873684210526316,1.0516666666666667,1.9826315789473685,-31.955789473684217,-23.950000000000003,172587.31578947368,409004.7894736842,295375.4736842105
Textiles,1947.6285714285714,1408.4142857142856,18.5,13.2,1.1428571428571428,57.699999999999996,0.7000000000000001,0.7528571428571429,1.4757142857142858,1.1271428571428572,1.1199999999999999,-15.214285714285717,-35.911428571428566,134844.42857142858,162267.2857142857,207790.57142857142
Defense,15251.469999999998,13715.41,241.14285714285714,33.0,4.111111111111112,43.0,3.3200000000000003,0.9669999999999999,0.734,1.488,2.419,9.899,57.83571428571429,528205.1,722982.1,858580.0
Candy & Soda,16954.257142857143,15073.8,19.05,15.283333333333333,4.8999999999999995,24.683333333333334,2.614285714285714,0.7714285714285715,0.9514285714285714,1.53,2.0242857142857145,13.305714285714288,79.27166666666666,580349.8571428572,930947.8571428572,992744.8571428572
Shipping Containers,11113.183333333334,6980.925,20.580000000000002,14.818181818181818,3.35,19.61,1.3916666666666666,0.9333333333333332,0.9766666666666666,2.5749999999999997,2.544166666666667,0.19999999999999987,31.753000000000004,587622.3333333334,1090188.25,1300396.9166666667
Communication,28093.33611111111,13691.381944444445,98.41702127659575,9.397959183673471,3.860294117647059,59.745945945945934,22.194444444444446,0.9493055555555555,1.1340277777777779,2.0380281690140847,2.492916666666667,-21.791527777777773,0.9169999999999997,2060975.4583333333,2770056.111111111,3261106.6666666665
Coal,1515.6499999999999,1561.1000000000001,3.75,2.783333333333333,1.3666666666666665,3.8000000000000003,0.9500000000000001,0.745,0.9416666666666665,5.596666666666667,7.561666666666667,12.118333333333334,69.48500000000001,671616.8333333334,743411.3333333334,780262.1666666666
Consumer Goods,16464.944262295085,14304.172131147541,22.128571428571426,22.55,6.5775862068965525,36.7974358974359,303.1508196721311,0.9504918032786885,1.2740677966101694,1.328688524590164,1.3647540983606556,0.2650909090909094,26.547441860465117,2136490.1967213117,2207177.344262295,1448800.0819672132
Restaraunts Hotels Motels,13924.062337662339,10271.974025974027,104.74426229508197,16.36969696969697,11.060344827586208,8874.9625,3.197368421052632,1.0306493506493508,1.6558666666666666,1.2971052631578948,1.3010389610389612,2.293287671232877,32.80968253968254,902075.8051948051,1111244.155844156,1067846.3246753246
Rubber and Plastic Products,5687.136363636364,4556.49090909091,23.306666666666665,51.635294117647064,6.014285714285715,44.35714285714285,2.4450000000000003,1.0963636363636362,1.2736363636363637,1.0999999999999999,1.2804545454545455,-7.08318181818182,74.07631578947368,550317.0909090909,2513643.772727273,1688117.6818181819
Recreation,7728.340909090908,6305.622727272727,26.299999999999997,22.099999999999998,1.9684210526315788,209.8333333333333,10.327272727272726,3.689090909090909,1.3005263157894735,0.6257142857142857,0.5954545454545455,-26.533684210526317,-13.017500000000002,632770.5909090909,986599.7272727273,905985.4545454546
Business Supplies,6895.450000000001,5005.05625,20.484615384615385,8.721428571428572,7.340000000000001,16.82,0.6933333333333334,0.848125,0.8756250000000001,2.593125,2.989375,-23.4925,-16.77846153846154,415408.25,506898.0,622709.125
Apparel,11854.30303030303,10765.439393939394,28.81153846153846,17.814814814814813,6.018181818181818,37.065384615384616,2.0181818181818185,1.258181818181818,1.8945454545454545,1.5581818181818183,1.5824242424242423,-2.450312499999999,15.18481481481481,1461821.7878787878,1702037.8181818181,1663276.9090909092
Tobacco Products,33547.61111111111,25566.022222222222,44.9,12.0,3.0,22.56,3.288888888888889,0.7955555555555555,1.7711111111111113,2.4788888888888887,2.4655555555555555,-17.52142857142857,2.5179999999999993,2032776.3333333333,2375086.888888889,2488884.222222222
Shipbuilding Railroad Equipment,9053.092307692308,7333.300000000001,11.049999999999999,7.99,2.1166666666666667,17.25,6.191666666666666,0.8369230769230767,1.5315384615384615,1.2169230769230768,1.2276923076923079,-15.213846153846152,-4.025555555555556,134494.84615384616,247419.07692307694,487530.0
Fabricated Products,3298.16,2140.66,34.660000000000004,19.7,1.9200000000000004,25.7,1.4600000000000002,0.9179999999999999,1.1960000000000002,1.186,1.2060000000000002,-0.382,20.706,65703.0,142122.0,169435.2
